epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
25,1934.58,1.26585,2.50564,1.3099,0.77787,0.20313,0.22388,0.14891,1.22401,2.15622,1.32785,0.000543168,0.000181056,0.000543168,0.000181056,0.000543168,0.000181056,0.000543168,0.000181056
26,2017.58,1.26867,2.4518,1.30669,0.76528,0.24683,0.25535,0.164,1.22057,2.14257,1.32405,0.000522675,0.000174225,0.000522675,0.000174225,0.000522675,0.000174225,0.000522675,0.000174225
27,2090.4,1.271,2.36386,1.30535,0.79439,0.24607,0.25915,0.16674,1.21777,2.15642,1.32559,0.000502182,0.000167394,0.000502182,0.000167394,0.000502182,0.000167394,0.000502182,0.000167394
28,2164.06,1.25232,2.39891,1.31981,0.80512,0.24951,0.2628,0.16748,1.20988,2.10825,1.32346,0.000481689,0.000160563,0.000481689,0.000160563,0.000481689,0.000160563,0.000481689,0.000160563
29,2234.89,1.24324,2.31085,1.27371,0.80253,0.24175,0.25927,0.167,1.20789,2.08213,1.31626,0.000461196,0.000153732,0.000461196,0.000153732,0.000461196,0.000153732,0.000461196,0.000153732
30,2305.9,1.23184,2.27965,1.30174,0.76177,0.25486,0.2677,0.17067,1.20691,2.07259,1.31119,0.000440703,0.000146901,0.000440703,0.000146901,0.000440703,0.000146901,0.000440703,0.000146901
31,2379.21,1.23315,2.31095,1.28211,0.76164,0.2555,0.27108,0.17274,1.2029,2.0551,1.3082,0.00042021,0.00014007,0.00042021,0.00014007,0.00042021,0.00014007,0.00042021,0.00014007
32,2449.02,1.24767,2.24385,1.29231,0.76081,0.25999,0.27536,0.1758,1.19827,2.03984,1.3086,0.000399717,0.000133239,0.000399717,0.000133239,0.000399717,0.000133239,0.000399717,0.000133239
33,2522,1.25046,2.25041,1.2855,0.76817,0.26031,0.27828,0.17756,1.19416,2.01111,1.30619,0.000379224,0.000126408,0.000379224,0.000126408,0.000379224,0.000126408,0.000379224,0.000126408
34,2591.85,1.25923,2.25174,1.29613,0.76081,0.26511,0.27947,0.18023,1.20162,2.02258,1.30936,0.000358731,0.000119577,0.000358731,0.000119577,0.000358731,0.000119577,0.000358731,0.000119577
35,2662.32,1.23241,2.22866,1.26893,0.8124,0.25585,0.28332,0.18175,1.20492,2.00353,1.31064,0.000338238,0.000112746,0.000338238,0.000112746,0.000338238,0.000112746,0.000338238,0.000112746
36,2735.63,1.24209,2.24753,1.28256,0.77309,0.27137,0.28435,0.18215,1.20065,2.02491,1.30748,0.000317745,0.000105915,0.000317745,0.000105915,0.000317745,0.000105915,0.000317745,0.000105915
37,2801.79,1.2216,2.23032,1.28542,0.76718,0.27253,0.28738,0.18659,1.19595,1.9908,1.30666,0.000297252,9.9084e-05,0.000297252,9.9084e-05,0.000297252,9.9084e-05,0.000297252,9.9084e-05
38,2870.38,1.21068,2.11506,1.27609,0.78265,0.27278,0.28877,0.18547,1.19515,1.98641,1.30936,0.000276759,9.2253e-05,0.000276759,9.2253e-05,0.000276759,9.2253e-05,0.000276759,9.2253e-05
39,2937.9,1.22961,2.15245,1.27387,0.78972,0.27103,0.28851,0.18683,1.19408,1.9797,1.30694,0.000256266,8.5422e-05,0.000256266,8.5422e-05,0.000256266,8.5422e-05,0.000256266,8.5422e-05
40,3007.6,1.21675,2.13871,1.29479,0.79697,0.26391,0.29294,0.18834,1.19359,1.96641,1.30527,0.000235773,7.8591e-05,0.000235773,7.8591e-05,0.000235773,7.8591e-05,0.000235773,7.8591e-05
41,3100.92,1.28473,2.40863,1.30252,0.74411,0.25817,0.26331,0.16962,1.21967,1.9759,1.3266,0.00021528,7.176e-05,0.00021528,7.176e-05,0.00021528,7.176e-05,0.00021528,7.176e-05
42,3190.03,1.27024,2.29532,1.30978,0.7285,0.23975,0.24622,0.16008,1.21976,1.95851,1.32601,0.000194787,6.4929e-05,0.000194787,6.4929e-05,0.000194787,6.4929e-05,0.000194787,6.4929e-05
43,3278.29,1.25713,2.28036,1.30158,0.76363,0.23748,0.26133,0.17032,1.21918,1.96118,1.32018,0.000174294,5.8098e-05,0.000174294,5.8098e-05,0.000174294,5.8098e-05,0.000174294,5.8098e-05
44,3356.05,1.265,2.26422,1.30548,0.7549,0.23759,0.25243,0.1653,1.21403,1.94214,1.31748,0.000153801,5.1267e-05,0.000153801,5.1267e-05,0.000153801,5.1267e-05,0.000153801,5.1267e-05
45,3437.04,1.26809,2.26459,1.28232,0.73474,0.24735,0.2559,0.16717,1.20538,1.93046,1.31314,0.000133308,4.4436e-05,0.000133308,4.4436e-05,0.000133308,4.4436e-05,0.000133308,4.4436e-05
46,3517.35,1.24907,2.20715,1.28671,0.79579,0.2176,0.26037,0.16836,1.20771,1.92606,1.31514,0.000112815,3.7605e-05,0.000112815,3.7605e-05,0.000112815,3.7605e-05,0.000112815,3.7605e-05
47,3600.02,1.24605,2.21561,1.28407,0.80679,0.22389,0.26677,0.17328,1.20108,1.91187,1.31106,9.2322e-05,3.0774e-05,9.2322e-05,3.0774e-05,9.2322e-05,3.0774e-05,9.2322e-05,3.0774e-05
48,3680.92,1.23188,2.25066,1.26834,0.68081,0.23728,0.23048,0.15386,1.20369,1.91226,1.31237,7.1829e-05,2.3943e-05,7.1829e-05,2.3943e-05,7.1829e-05,2.3943e-05,7.1829e-05,2.3943e-05
49,3768.71,1.23432,2.21853,1.29275,0.73355,0.25244,0.25775,0.16803,1.19567,1.90207,1.30826,5.1336e-05,1.7112e-05,5.1336e-05,1.7112e-05,5.1336e-05,1.7112e-05,5.1336e-05,1.7112e-05
50,3855.63,1.23857,2.2158,1.29484,0.7759,0.22496,0.25904,0.16777,1.2014,1.89961,1.31086,3.0843e-05,1.0281e-05,3.0843e-05,1.0281e-05,3.0843e-05,1.0281e-05,3.0843e-05,1.0281e-05
